Wall time,Step,Value
1474338939.553843,33900,0.05180203914642334
1474339110.69807,34000,0.05120640993118286
1474339481.06981,34100,0.05037018284201622
1474339650.773226,34200,0.05124985799193382
1474339820.524809,34300,0.05157793313264847
1474339990.118891,34400,0.04993505775928497
1474340159.82757,34500,0.05123840272426605
1474340329.654557,34600,0.05067799985408783
1474340499.342964,34700,0.05251406505703926
1474340669.156439,34800,0.051045890897512436
1474340838.943436,34900,0.050592727959156036
1474341008.5486,35000,0.05144398286938667
1474341378.547301,35100,0.05134673789143562
1474341549.274418,35200,0.05178658291697502
1474341719.969164,35300,0.05107727274298668
1474341890.345363,35400,0.051679547876119614
1474342060.259851,35500,0.05193818360567093
1474342229.961239,35600,0.050827182829380035
1474342399.740905,35700,0.051959022879600525
1474342569.558333,35800,0.05031631514430046
1474342739.497516,35900,0.05085204541683197
1474342909.265436,36000,0.051786869764328
1474343279.074521,36100,0.0516836941242218
1474343449.060333,36200,0.051704391837120056
1474343618.894513,36300,0.05218176171183586
1474343788.764099,36400,0.051117800176143646
1474343959.059085,36500,0.05162365362048149
1474344130.038395,36600,0.050995003432035446
1474344300.171331,36700,0.05264446511864662
1474344470.239315,36800,0.05014864355325699
1474344640.144463,36900,0.05083763599395752
1474344809.967409,37000,0.051520779728889465
1474345178.173589,37100,0.05016085132956505
1474345347.743251,37200,0.051893796771764755
1474345517.516543,37300,0.05050976574420929
1474345687.214582,37400,0.04997004568576813
1474345857.11589,37500,0.05066724866628647
1474346027.009404,37600,0.051209475845098495
1474346196.889994,37700,0.051629722118377686
1474346366.785188,37800,0.050832729786634445
1474346537.711721,37900,0.05244681239128113
1474346707.948822,38000,0.05116379261016846
1474347079.537681,38100,0.05200016871094704
1474347249.108585,38200,0.05046682804822922
1474347418.636408,38300,0.04999782517552376
1474347588.350203,38400,0.05272406339645386
1474347758.047884,38500,0.05074656009674072
1474347927.795245,38600,0.05141705274581909
1474348097.583679,38700,0.05126315727829933
1474348267.324637,38800,0.05065536871552467
1474348437.071881,38900,0.05193668231368065
1474348606.810671,39000,0.05106121301651001
1474348977.797046,39100,0.05044585466384888
1474349148.136733,39200,0.05032398924231529
1474349318.380569,39300,0.0511738546192646
1474349488.260101,39400,0.050395287573337555
1474349658.016317,39500,0.05206680670380592
1474349827.785849,39600,0.05027661472558975
1474349997.535253,39700,0.051226403564214706
1474350167.35179,39800,0.051764436066150665
1474350337.009111,39900,0.051146239042282104
1474350506.83024,40000,0.051634661853313446
1474350875.829739,40100,0.05051996931433678
1474351045.663937,40200,0.05013379827141762
1474351215.459359,40300,0.051185764372348785
1474351385.783913,40400,0.05204550549387932
1474351556.550765,40500,0.05038826912641525
1474351726.536027,40600,0.05072548985481262
1474351896.834746,40700,0.050487373024225235
1474352066.509845,40800,0.051838915795087814
1474352236.254829,40900,0.05044127255678177
1474352406.060545,41000,0.051045749336481094
1474352775.644018,41100,0.05088789761066437
1474352945.396582,41200,0.05043291300535202
1474353115.190058,41300,0.051228150725364685
1474353285.000668,41400,0.050689078867435455
1474353454.767727,41500,0.051284536719322205
1474353624.49635,41600,0.05149941146373749
1474353794.272282,41700,0.050762567669153214
1474353965.38849,41800,0.0502498596906662
1474354135.431885,41900,0.050981976091861725
1474354305.721247,42000,0.0516803078353405
1474354675.889813,42100,0.051291607320308685
1474354845.809849,42200,0.05007198825478554
1474355015.524082,42300,0.05074410140514374
1474355185.285026,42400,0.04940514266490936
1474355355.192723,42500,0.05089694261550903
1474355524.997479,42600,0.050537846982479095
1474355694.870889,42700,0.05096540227532387
1474355864.549082,42800,0.0510590523481369
1474356034.340719,42900,0.05149570852518082
1474356204.175778,43000,0.05167048051953316
1474356575.108899,43100,0.05127386748790741
1474356745.442162,43200,0.05108049511909485
1474356915.631899,43300,0.05141498148441315
1474357085.607033,43400,0.04890047013759613
1474357255.404978,43500,0.051079075783491135
1474357425.090467,43600,0.049827441573143005
1474357594.821744,43700,0.05065563693642616
1474357764.681208,43800,0.05132726579904556
1474357934.544577,43900,0.050986528396606445
1474358104.318734,44000,0.05070161446928978
1474358473.401385,44100,0.05193085968494415
1474358644.088043,44200,0.04990885406732559
1474358815.842314,44300,0.05028344318270683
1474358987.778414,44400,0.05042446404695511
1474359159.08541,44500,0.05101103335618973
1474359330.671053,44600,0.05149121582508087
1474359501.508313,44700,0.05017115920782089
1474359672.497936,44800,0.051354750990867615
1474359843.3798,44900,0.05027460306882858
1474360014.286901,45000,0.05113111063838005
1474360385.2137,45100,0.05061976611614227
1474360556.318769,45200,0.05152202397584915
1474360727.340541,45300,0.05100177973508835
1474360898.316949,45400,0.05068470910191536
1474361069.136891,45500,0.04967687651515007
1474361240.472638,45600,0.050464313477277756
1474361412.843587,45700,0.05255136266350746
1474361584.012921,45800,0.0510752908885479
1474361755.310689,45900,0.05089189484715462
1474361926.399297,46000,0.04969455301761627
1474362298.756185,46100,0.05123399570584297
1474362469.22525,46200,0.05081738159060478
1474362640.113242,46300,0.050736404955387115
1474362810.981309,46400,0.050627101212739944
1474362981.944974,46500,0.05123506113886833
1474363153.006027,46600,0.05050451681017876
1474363324.21699,46700,0.050435323268175125
1474363495.19847,46800,0.052047304809093475
1474363666.111401,46900,0.05089697614312172
1474363838.070031,47000,0.0500665083527565
1474364210.413726,47100,0.05040726065635681
1474364381.628447,47200,0.05046078935265541
1474364552.221204,47300,0.049875110387802124
1474364723.023046,47400,0.051034215837717056
1474364893.707713,47500,0.05094543471932411
1474365064.479942,47600,0.050102654844522476
1474365235.521683,47700,0.05086015537381172
1474365406.455876,47800,0.050961438566446304
1474365577.339083,47900,0.05161502584815025
1474365748.368092,48000,0.050977129489183426
1474366120.929865,48100,0.05049857869744301
1474366292.855482,48200,0.050243642181158066
1474366464.553155,48300,0.04959467798471451
1474366635.04546,48400,0.051326051354408264
1474366806.360086,48500,0.04972349479794502
1474366977.346211,48600,0.05039450153708458
1474367148.331283,48700,0.04971848800778389
1474367319.154363,48800,0.051339782774448395
1474367490.103274,48900,0.05042748898267746
1474367661.141083,49000,0.050059400498867035
1474368032.838678,49100,0.051473721861839294
1474368203.68248,49200,0.05153949558734894
1474368374.676769,49300,0.05127768963575363
1474368545.678099,49400,0.05165349692106247
1474368716.846504,49500,0.0489296056330204
1474368888.688051,49600,0.05062073469161987
1474369059.570672,49700,0.04997086897492409
1474369231.04139,49800,0.051296018064022064
1474369401.992448,49900,0.05118955671787262
1474369573.019876,50000,0.05155612900853157
1474369944.911637,50100,0.05020179972052574
1474370115.774479,50200,0.050793956965208054
1474370286.627486,50300,0.05023407191038132
1474370457.324366,50400,0.049238137900829315
1474370628.280387,50500,0.05113837495446205
1474370799.109022,50600,0.05069044232368469
1474370969.603087,50700,0.04881533235311508
1474371141.434544,50800,0.04947016015648842
1474371315.77625,50900,0.051278162747621536
1474371488.721419,51000,0.05003553628921509
1474371871.852043,51100,0.05106988176703453
1474372044.296738,51200,0.05111517384648323
1474372214.663257,51300,0.049830079078674316
1474372385.315601,51400,0.05096080154180527
1474372556.145272,51500,0.05088153854012489
1474372727.129251,51600,0.05052974447607994
1474372899.136611,51700,0.05030985176563263
1474373071.026695,51800,0.051183149218559265
1474373243.280391,51900,0.05122324079275131
1474373415.750553,52000,0.04989679902791977
1474373797.788213,52100,0.05062772333621979
1474373969.464404,52200,0.049789559096097946
1474374141.358682,52300,0.05115151032805443
1474374314.421166,52400,0.05106155574321747
1474374486.191646,52500,0.05062488839030266
1474374658.41692,52600,0.05083522945642471
1474374830.394554,52700,0.05087146908044815
1474375002.449948,52800,0.050869718194007874
1474375174.554524,52900,0.049689967185258865
1474375346.867659,53000,0.05013468116521835
1474375725.646734,53100,0.051068153232336044
1474375897.83434,53200,0.0516454242169857
1474376068.715436,53300,0.05037103593349457
1474376240.51032,53400,0.0496266707777977
1474376412.637925,53500,0.0503719337284565
1474376583.688881,53600,0.050636935979127884
1474376755.171019,53700,0.05107196047902107
1474376926.500252,53800,0.04963846877217293
1474377097.209759,53900,0.04998849332332611
1474377267.799501,54000,0.05186937376856804
1474377639.099222,54100,0.05036824196577072
1474377809.995943,54200,0.05011503025889397
1474377980.886604,54300,0.05009671673178673
1474378151.949012,54400,0.05047895759344101
1474378322.84365,54500,0.05101577192544937
1474378493.926189,54600,0.049834106117486954
1474378665.071478,54700,0.05007537081837654
1474378837.420941,54800,0.0516953207552433
1474379008.416944,54900,0.05096615478396416
1474379179.510729,55000,0.049460601061582565
1474379550.254049,55100,0.05085516348481178
1474379720.586718,55200,0.05101270228624344
1474379891.515669,55300,0.05133045092225075
1474380063.242095,55400,0.050139326602220535
1474380235.767124,55500,0.050187159329652786
1474380407.578266,55600,0.05038251355290413
1474380579.211126,55700,0.05001803860068321
1474380750.879849,55800,0.050011467188596725
1474380922.505937,55900,0.05062543973326683
1474381094.680373,56000,0.05109057575464249
1474381471.167245,56100,0.05047087371349335
1474381642.932585,56200,0.05095820873975754
1474381815.121226,56300,0.05084632709622383
1474381986.663375,56400,0.04978557676076889
1474382159.074542,56500,0.049919493496418
1474382331.448576,56600,0.049820996820926666
1474382503.230849,56700,0.05008436366915703
1474382675.233877,56800,0.05010681599378586
1474382846.490654,56900,0.049384601414203644
1474383018.386876,57000,0.05182214826345444
1474383393.522852,57100,0.04917435348033905
1474383565.874761,57200,0.05113756284117699
1474383738.826644,57300,0.050666406750679016
1474383912.25681,57400,0.04948729649186134
1474384084.731581,57500,0.05097951367497444
1474384258.074213,57600,0.05104672908782959
1474384430.53449,57700,0.05033281445503235
1474384602.771269,57800,0.04942796379327774
1474384775.029322,57900,0.050314415246248245
1474384947.418975,58000,0.05047839879989624
1474385324.388877,58100,0.05152719467878342
1474385496.554953,58200,0.0492551214993
1474385669.011623,58300,0.04964297637343407
1474385841.412271,58400,0.050092052668333054
1474386014.150615,58500,0.050311341881752014
1474386187.471213,58600,0.05004707723855972
1474386361.24204,58700,0.05008486658334732
1474386533.723109,58800,0.05026479437947273
1474386705.93837,58900,0.050139062106609344
1474386878.783795,59000,0.05094011500477791
1474387256.965434,59100,0.05078783258795738
1474387429.446406,59200,0.050226762890815735
1474387601.500167,59300,0.05064821615815163
1474387773.52459,59400,0.050914522260427475
1474387945.738146,59500,0.05143621936440468
1474388117.949966,59600,0.05095652863383293
1474388289.448479,59700,0.05034604296088219
1474388461.170327,59800,0.05126679316163063
1474388632.861701,59900,0.05059124529361725
1474388806.139514,60000,0.049504347145557404
1474389185.340984,60100,0.051337964832782745
1474389358.442542,60200,0.049727071076631546
1474389530.943263,60300,0.049508385360240936
1474389702.978916,60400,0.04990575462579727
1474389875.551807,60500,0.04999522492289543
1474390048.034366,60600,0.049798641353845596
1474390219.639727,60700,0.05079641193151474
1474390391.292374,60800,0.04956274479627609
1474390562.955449,60900,0.05046878755092621
1474390734.528413,61000,0.0502266101539135
1474391110.021556,61100,0.05061318352818489
1474391283.55689,61200,0.0507827065885067
1474391456.241869,61300,0.051188308745622635
1474391627.864045,61400,0.05023255571722984
1474391800.216385,61500,0.04958156868815422
1474391973.503322,61600,0.05062360689043999
1474392145.620661,61700,0.050228483974933624
1474392317.990748,61800,0.051749709993600845
1474392489.960944,61900,0.051707711070775986
1474392662.205975,62000,0.051036350429058075
1474393040.063193,62100,0.05026715621352196
1474393212.765181,62200,0.04997733235359192
1474393384.873142,62300,0.05078171193599701
1474393557.151328,62400,0.04935424402356148
1474393730.457728,62500,0.0499858483672142
1474393903.849106,62600,0.05018436908721924
1474394075.961934,62700,0.05143342539668083
1474394247.828859,62800,0.04983324557542801
1474394420.479633,62900,0.049948714673519135
1474394593.35251,63000,0.04944118112325668
1474394970.434502,63100,0.050406139343976974
1474395142.692592,63200,0.05055338889360428
1474395314.491109,63300,0.05058536306023598
1474395486.507209,63400,0.04985065758228302
1474395659.096642,63500,0.050458092242479324
1474395832.357571,63600,0.050021421164274216
1474396005.023806,63700,0.04936373978853226
1474396177.605533,63800,0.05091218277812004
1474396350.91281,63900,0.049611903727054596
1474396523.187067,64000,0.05003618076443672
1474396901.366055,64100,0.05005229264497757
1474397073.540226,64200,0.04995546489953995
1474397245.341333,64300,0.051146578043699265
1474397416.899392,64400,0.05040144547820091
1474397588.863934,64500,0.05023973062634468
1474397760.708701,64600,0.05058510974049568
1474397932.900392,64700,0.05006136745214462
1474398104.512476,64800,0.05080521106719971
1474398276.141282,64900,0.050358619540929794
1474398447.798047,65000,0.050881728529930115
1474398828.139038,65100,0.050391945987939835
1474399000.030365,65200,0.05063821002840996
1474399171.423305,65300,0.05149279907345772
1474399343.067766,65400,0.0500919446349144
1474399515.367789,65500,0.050721149891614914
1474399687.400099,65600,0.05139485374093056
1474399859.202034,65700,0.05092727020382881
1474400030.638368,65800,0.04994026944041252
1474400202.160235,65900,0.050467606633901596
1474400373.679135,66000,0.05083122104406357
1474400750.264162,66100,0.05023879557847977
1474400921.893622,66200,0.050155770033597946
1474401093.405328,66300,0.04926032945513725
1474401266.349925,66400,0.04961924999952316
1474401439.001803,66500,0.05056251585483551
1474401610.889006,66600,0.050795912742614746
1474401783.657877,66700,0.05077555403113365
1474401956.470203,66800,0.050690680742263794
1474402129.457986,66900,0.05028848722577095
1474402301.484598,67000,0.05165553092956543
1474402684.142696,67100,0.05046756565570831
1474402856.119757,67200,0.05084332823753357
1474403027.848241,67300,0.051136501133441925
1474403199.531617,67400,0.04938335716724396
1474403371.016658,67500,0.04971848055720329
1474403542.6311,67600,0.05054384842514992
1474403715.12616,67700,0.04935816675424576
1474403888.127638,67800,0.0507516972720623
1474404059.753919,67900,0.05012831836938858
1474404231.344366,68000,0.050611209124326706
1474404609.162601,68100,0.05011529475450516
1474404780.916924,68200,0.05119200795888901
1474404952.486634,68300,0.05074865743517876
1474405124.084881,68400,0.05031329765915871
1474405295.607484,68500,0.05011526867747307
1474405467.465982,68600,0.05001778528094292
1474405639.746569,68700,0.050750065594911575
1474405812.179449,68800,0.050246987491846085
1474405983.734238,68900,0.050231777131557465
1474406155.885856,69000,0.048457711935043335
